data;compra;venda
01/12/2021;5,6162;5,6168
02/12/2021;5,6339;5,6345
03/12/2021;5,6426;5,6432
06/12/2021;5,6871;5,6877
07/12/2021;5,6405;5,6411
08/12/2021;5,5773;5,5779
09/12/2021;5,5558;5,5564
10/12/2021;5,5925;5,5931
13/12/2021;5,6351;5,6357
14/12/2021;5,6455;5,6461
15/12/2021;5,7121;5,7127
16/12/2021;5,6957;5,6963
17/12/2021;5,6953;5,6959
20/12/2021;5,7049;5,7055
21/12/2021;5,7367;5,7372
22/12/2021;5,7195;5,7201
23/12/2021;5,6904;5,691
24/12/2021;5,6541;5,6591
27/12/2021;5,6644;5,665
28/12/2021;5,6432;5,6438
29/12/2021;5,6613;5,6619
30/12/2021;5,5799;5,5805
31/12/2021;5,5799;5,5805
03/01/2022;5,6303;5,6309
04/01/2022;5,677;5,6776
05/01/2022;5,6622;5,6628
06/01/2022;5,7036;5,7042
07/01/2022;5,6747;5,6753
10/01/2022;5,673;5,6736
11/01/2022;5,6345;5,6351
12/01/2022;5,5605;5,5611
13/01/2022;5,524;5,5246
14/01/2022;5,5343;5,5349
17/01/2022;5,5052;5,5058
18/01/2022;5,5207;5,5213
19/01/2022;5,4972;5,4978
20/01/2022;5,416;5,4166
21/01/2022;5,4395;5,4401
24/01/2022;5,4904;5,491
25/01/2022;5,4965;5,4971
26/01/2022;5,4318;5,4324
27/01/2022;5,3806;5,3812
28/01/2022;5,3948;5,3954
31/01/2022;5,3568;5,3574
01/02/2022;5,2804;5,281
02/02/2022;5,295;5,2956
03/02/2022;5,3019;5,3025
04/02/2022;5,3278;5,3284
07/02/2022;5,2907;5,2913
08/02/2022;5,2693;5,2699
09/02/2022;5,2729;5,2735
10/02/2022;5,2095;5,2101
11/02/2022;5,1981;5,1987
14/02/2022;5,21;5,2106
15/02/2022;5,1875;5,1881
16/02/2022;5,1624;5,163
17/02/2022;5,1559;5,1565
18/02/2022;5,1333;5,1339
21/02/2022;5,0991;5,0997
22/02/2022;5,0605;5,0611
23/02/2022;5,0137;5,0143
24/02/2022;5,1168;5,1174
25/02/2022;5,1388;5,1394
02/03/2022;5,1341;5,1347
03/03/2022;5,0473;5,0479
04/03/2022;5,0752;5,0758
07/03/2022;5,0573;5,0579
08/03/2022;5,0897;5,0903
09/03/2022;5,0088;5,0094
10/03/2022;5,0507;5,0513
11/03/2022;5,0249;5,0255
14/03/2022;5,0641;5,0647
15/03/2022;5,1308;5,1314
16/03/2022;5,1281;5,1287
17/03/2022;5,0758;5,0764
18/03/2022;5,0405;5,0411
21/03/2022;4,966;4,9666
22/03/2022;4,9202;4,9208
23/03/2022;4,8698;4,8704
24/03/2022;4,8061;4,8067
25/03/2022;4,7776;4,7782
28/03/2022;4,7899;4,7905
29/03/2022;4,748;4,7486
30/03/2022;4,7491;4,7497
31/03/2022;4,7372;4,7378
01/04/2022;4,6978;4,6984
01/04/2022;4,6978;4,6984
04/04/2022;4,6169;4,6175
05/04/2022;4,6394;4,64
06/04/2022;4,6961;4,6967
